id,LinName,bus_a,bus_b
209,Coronel154->Coronel066,133,132
210,Coronel154->Horcones066,133,141
211,Duqueco220->Temuco220,135,206
212,ElSalto110->SCristobal110,136,198
213,EntreRios500->Ancoa500AuxS,138,226
214,EntreRios500->Charrua500,138,115
215,EntreRios500->EntreRios220,138,137
216,Florida110->Almendros110,139,96
217,Florida110->StaRosa110,139,202
218,Fopaco154->Lagunillas154,140,145
219,Guindo066->Concepcio066,219,129
220,Guindo220->Guindo066,220,219
221,Guindo220->Hualpen220,220,143
222,Hualpen154->Mapal154,142,155
223,Hualpen220->Hualpen154,143,142
224,Itahue154->Maule154,144,156
225,Itahue154->Teno154,144,207
226,Itahue220->Maule220,144,156
227,Lagunillas154->Coronel154,145,133
228,Lagunilla220->Guindo220,146,220
229,Lagunillas220->Lagunillas154,146,145
230,Linares154->SJavier066,148,200
231,LoAguirre220->CNavia220,149,126
232,LoAguirre500->AJahuel500,150,94
233,LoAguirre500->LoAguirre220,150,149
234,LoAguirre500->LoAguirre220_2,150,149
235,LoAguirre500->Polpaico500,150,179
236,LoEspejo110->Ochagavia110,151,163
237,Malloa154->Tinguiririca154,154,211
238,Mapal154->Fopaco154,155,140
239,Maule154->Linares154,156,148
240,Maule154->SMiguel066,156,201
241,Mulchen220->Cautin220,159,111
242,Nogales220->Polpaico220,160,178
243,Nogales220->Quillota220,160,182
244,Nogales220->Ventanas220,160,218
245,Ochagavia110->Florida110,163,139
246,Pachacama110->LVegas110,164,152
247,Paine154->Tuniche154_I,165,214
248,Pangue220->Cholguan220,167,121
249,Pangue220->Trupan220,167,213
250,Parral154->Linares154,168,148
251,Pehuenche220->Ancoa220,170,99
252,Petroquim154->Hualpen154,171,142
253,Pichirropulli220->Tineo220,173,209
254,Pid-Pid110->Chonchi110,174,122
255,Pillanlelbun066->Lautaro066,175,147
256,PMontt220->Chiloe220,176,119
257,Tineo220->Chiloe220,209,222
258,PMontt220->Molinos110,176,158
259,PNegro220->Candela220,177,109
260,PNegro220->Tinguiririca220,177,210
261,Polpaico220->ElSalto110,178,136
262,Polpaico500->Polpaico220,179,178
263,PPeuco110->LVegas110,180,152
264,PPeuco110->LVegas110_I,180,152
265,Prrahue220->Rahue220,172,184
266,Prropulli220AuxS->Prrahue220,227,172
267,Prropulli220AuxS->Rahue220,227,184
268,Quillota110->Mirafl110,181,157
269,Quillota110->Pachacam110,181,164
270,Quillota220->Polpaico220,182,178
271,Quillota220->Quillota110,182,181
272,Quintero220->SanLuis220,183,191
273,Rahue220->Tineo220,184,209
274,Tineo220->PMontt220,209,176
275,Rancagua154->Tuniche154_I,186,214
276,Rancagua154->Tuniche154_II,186,215
277,Rapel220->AMelipill220,187,98
278,Renca110->CNavia110,188,125
279,RioTolten220->Ciruelos220,189,124
280,Rucue220->Charrua220,190,114
281,SanLuis220->ASanta220,191,105
282,SanLuis220->Quillota220,191,182
283,SantaMaria220->Charrua220,193,114
284,SantaMarta220->Chena220,194,117
285,Sauzal110_2->Sauzal154,196,197
286,Sauzal154->Rancagua154,197,186
287,SCristobal110->CNavia110,198,125
288,SFcoMost066->Paine154,199,165
289,SJavier66->Constituci66,200,131
290,SMiguel66->Talca66,201,204
291,StaRosa110->AJahuel110,202,91
292,SVicente154->Hualpen154,203,142
293,SVicente154->Petroq154,203,171
294,Talca66->SJavier66,204,200
295,Temuco220->Cautin220,206,111
296,Temuco220->Temuco66,206,205
297,Temuco66->Pillanlelbun66,205,175
298,Tilcoco154->Malloa154,208,154
299,Tilcoco154->PCortes154,208,169
300,Tinguiririca154->Itahue154,211,144
301,Tinguiririca154->Teno154,211,207
302,Tinguiririca220->Tinguiririca154,210,211
303,Torquemada110->Mirafl110,212,157
304,Trupan220->Charrua220,213,114
305,Tuniche_1->PCortes154,214,169
306,Tuniche_1->Tinguiririca154,214,211
