cen_id,cen_name,type,bar_id
330,LA_SILLA_FV,solar_fv,54
331,PAMPA_SOLAR_NORTE_FV,solar_fv,9
332,CONEJO_FV,solar_fv,41
333,LALACKAMA_FV,solar_fv,41
334,LALACKAMA_2_FV,solar_fv,41
335,PILAR_LOS_AMARILLOS_FV,solar_fv,25
336,LOS_LOROS_FV,solar_fv,12
337,LOMAS_COLORADAS_FV,solar_fv,36
338,TAMBO_REAL_FV,solar_fv,75
339,SDGx01_FV,solar_fv,75
340,LOMA_LOS_COLORADOS_FV,solar_fv,180
341,SAN_ANDRES_FV,solar_fv,21
342,CARRERA_PINTO_FV,solar_fv,21
343,QUILAPILUN_FV,solar_fv,178
344,SALVADOR_FV,solar_fv,25
345,EL_ROMERO_FV,solar_fv,32
346,LUNA_DEL_NORTE_FV,solar_fv,75
347,SOL_DEL_NORTE_FV,solar_fv,75
348,LAGUNILLA_FV,solar_fv,36
349,EL_PELICANO_FV,solar_fv,32
350,DONA_CARMEN_FV,solar_fv,30
351,SANTIAGO_SOLAR_FV,solar_fv,180
352,EL_DIVISADERO_FV,solar_fv,36
353,SANTA_JULIA_FV,solar_fv,53
354,NILHUE_FV,solar_fv,178
355,TIL_TIL_FV,solar_fv,152
356,CABILSOL_FV,solar_fv,53
357,EL_QUEMADO_FV,solar_fv,53
358,PANQUEHUE_2_FV,solar_fv,152
359,LA_FRONTERA_FV,solar_fv,144
360,HORMIGA_FV,solar_fv,178
361,SAN_PEDRO_FV,solar_fv,98
362,CINTAC_FV,solar_fv,116
363,EL_BOCO_FV,solar_fv,152
364,LA_CHAPEANA_FV,solar_fv,36
365,LAS_MOLLACAS_FV,solar_fv,36
366,BELLAVISTA_FV,solar_fv,36
367,EL_SAUCE_FV,solar_fv,36
368,ESPERANZA_2_FV,solar_fv,187
369,MARCHIGUE_2_FV,solar_fv,187
370,CUZCUZ_FV,solar_fv,36
371,LAS_TURCAS_FV,solar_fv,98
372,PILOTO_CARDONES_FV,solar_fv,13
373,VALLE_DE_LA_LUNA_2_FV,solar_fv,106
374,DON_EUGENIO_FV,solar_fv,186
375,LA_QUINTA_FV,solar_fv,139
376,SAN_FRANCISCO_FV,solar_fv,180
377,EL_QUELTEHUE_FV,solar_fv,98
378,ANTAY_FV,solar_fv,13
379,EL_ROBLE_FV,solar_fv,187
380,HOMERO_FV,solar_fv,199
381,EL_PILPEN_FV,solar_fv,98
382,CHIMBARONGO_FV,solar_fv,211
383,FRANCISCO_FV,solar_fv,199
384,EL_CERNICALO_1_FV,solar_fv,168
385,EL_CERNICALO_2_FV,solar_fv,168
386,LOS_GORRIONES_FV,solar_fv,168
387,CHANCON_FV,solar_fv,199
388,ESTERO_FV,solar_fv,199
389,LUNA_FV,solar_fv,199
390,OVEJERIA_FV,solar_fv,139
391,CORDILLERILLA_FV,solar_fv,144
392,ALTOS_DEL_PAICO_FV,solar_fv,98
393,TECHOS_DE_ALTAMIRA_FV,solar_fv,139
394,SANTUARIO_FV,solar_fv,178
395,LA_MANGA_1_FV,solar_fv,187
396,EL_PITIO_FV,solar_fv,148
397,PORTEZUELO_FV,solar_fv,187
398,PERALILLO_FV,solar_fv,207
399,MOSTAZAL_FV,solar_fv,199
400,AMPARO_DEL_SOL_FV,solar_fv,36
401,LA_ACACIA_FV,solar_fv,154
402,CATAN_SOLAR_FV,solar_fv,178
403,LOS_PATOS_FV,solar_fv,144
404,LOS_LIBERTADORES_FV,solar_fv,169
405,LUDERS_FV,solar_fv,199
406,LAS_PALOMAS_FV,solar_fv,118
407,TALHUEN_FV,solar_fv,36
408,VILLA_PRAT_FV,solar_fv,144
409,MALAQUITA_SOLAR_FV,solar_fv,12
410,CACHIYUYO_FV,solar_fv,12
411,VALLE_SOLAR_ESTE_FV,solar_fv,12
412,VALLE_SOLAR_OESTE_FV,solar_fv,12
413,MARIN_FV,solar_fv,178
414,QUEULE_FV,solar_fv,186
415,EL_PIQUERO_FV,solar_fv,105
416,DAS_FV,solar_fv,25
417,CHINCOL_FV,solar_fv,168
418,PICURIO_FV,solar_fv,207
419,ALICAHUE_FV,solar_fv,53
420,SANTA_LAURA_FV,solar_fv,53
421,OLIVILLO_FV,solar_fv,152
422,RODEO_FV,solar_fv,105
423,LA_BLANQUINA_1_FV,solar_fv,199
424,LAS_PERDICES_FV,solar_fv,204
425,TRICA_DOS_FV,solar_fv,204
426,LAS_CODORNICES_FV,solar_fv,168
427,CHALINGA_FV,solar_fv,36
428,NORTE_CHICO_1_FV,solar_fv,53
429,DONIHUE_FV,solar_fv,186
430,ROVIAN_FV,solar_fv,211
431,ARIZTIA_FV,solar_fv,53
432,CALLE_LARGA_FV,solar_fv,178
433,ENCON_SOLAR_FV,solar_fv,178
434,ALTO_SOLAR_FV,solar_fv,187
435,UTFSM_VITACURA_FV,solar_fv,96
436,UTFSM_SAN_JOAQUIN_FV,solar_fv,163
437,UTFSM_VINA_DEL_MAR_FV,solar_fv,157
439,UTFSM_VALPARAISO_FV,solar_fv,157
440,VITUCO_2B_FV,solar_fv,154
441,POBLACION_FV,solar_fv,187
442,OCOA_FV,solar_fv,152
443,LAUREL_FV,solar_fv,98
445,CRUCERO_FV,solar_fv,187
446,RANGUIL_FV,solar_fv,144
447,PIRQUE_FV,solar_fv,139
448,SANTA_CLARA_FV,solar_fv,36
449,LIPANGUE_FV,solar_fv,188
451,SANTA_ISABEL_FV,solar_fv,48
452,ALTOS_TILTIL_FV,solar_fv,180
453,CANESA_1_FV,solar_fv,36
454,SANTA_ADRIANA_FV,solar_fv,98
455,SANTA_ROSA_FV,solar_fv,187
456,LA_LAJUELA_FV,solar_fv,199
457,LOS_PERALES_FV,solar_fv,182
458,ILLAPEL_5_FV,solar_fv,36
459,CASUTO_FV,solar_fv,178
460,PAMA_FV,solar_fv,36
461,PEDREROS_FV,solar_fv,105
462,SAN_ISIDRO_FV,solar_fv,199
463,JAURURO_FV,solar_fv,53
464,TRICAHUE_2_FV,solar_fv,199
465,ALMEYDA_FV,solar_fv,25
466,MONTT_SOLAR_FV,solar_fv,53
467,PSF_LO_SIERRA_FV,solar_fv,98
468,NIQUEN_FV,solar_fv,168
469,MARCHIGUE_7_FV,solar_fv,187
470,TALCA_FV,solar_fv,204
471,PLACILLA_FV,solar_fv,211
472,PARAGUAY_FV,solar_fv,144
473,LAS_LECHUZAS_FV,solar_fv,118
474,LUCE_SOLAR_FV,solar_fv,118
475,LO_MIRANDA_FV,solar_fv,186
476,VILLA_CRUZ_FV,solar_fv,200
477,LORETO_FV,solar_fv,154
478,RINCONADA_FV,solar_fv,154
479,PEPA_SOLAR_1_FV,solar_fv,165
480,ATACAMA_SOLAR_2_FV,solar_fv,48
481,RLA_FV,solar_fv,98
482,KAUFMANN_FV,solar_fv,106
483,TUCUQUERE_FV,solar_fv,105
484,GRANJA_FV,solar_fv,48
485,DARLIN_FV,solar_fv,165
486,ANDES_2A_FV,solar_fv,2
487,VILLA_SECA_FV,solar_fv,148
488,KONDA_FV,solar_fv,178
489,CITRINO_FV,solar_fv,116
490,LAS_CHACRAS_FV,solar_fv,187
491,DON_MARIANO_FV,solar_fv,211
492,LA_ESTANCIA_FV,solar_fv,187
493,RAUQUEN_FV,solar_fv,207
494,CARDONES_FV,solar_fv,54
495,LA_LIGUA_FV,solar_fv,53
496,CAIMI_FV,solar_fv,152
497,PILPILEN_FV,solar_fv,187
498,ECLIPSE_FV,solar_fv,98
501,CANDELARIA_FV,solar_fv,199
502,USYA_FV,solar_fv,82
503,EL_SALITRAL_FV,solar_fv,36
504,J_SOLER_M_FV,solar_fv,207
505,BELLAVISTA_1_FV,solar_fv,48
506,LOS_GIRASOLES_FV,solar_fv,125
507,LEMU_FV,solar_fv,200
508,PULLALLI_FV,solar_fv,53
509,LAS_ROJAS_FV,solar_fv,75
510,LLANOS_DE_POTROSO_FV,solar_fv,75
511,VILLA_FV,solar_fv,144
512,GUADALAO_FV,solar_fv,187
513,NUEVO_QUILLAGUA_FV,solar_fv,57
514,LA_HUELLA_FV,solar_fv,32
515,SOL_DEL_NORTE_ANDES_FV,solar_fv,2
516,LOS_ANDES_FV,solar_fv,2
517,ANTONIA_FV,solar_fv,154
518,CHACABUCO_FV,solar_fv,178
519,SANTA_AMELIA_FV,solar_fv,154
520,ARGOMEDO_FV,solar_fv,208
521,SAN_PEDRO_GPG_FV,solar_fv,82
522,RIO_ESCONDIDO_FV,solar_fv,13
523,CAMPOS_DEL_SOL_FV,solar_fv,21
524,VILLA_ALEGRE_FV,solar_fv,200
525,SANTA_FE_FV,solar_fv,200
526,CHUCAO_FV,solar_fv,168
527,VICTORIA_FV,solar_fv,82
528,LOS_PALTOS_FV,solar_fv,53
529,MARIA_PINTO_FV,solar_fv,98
530,TREBAL_SOLAR_FV,solar_fv,194
531,JAHUEL_FV,solar_fv,178
532,CATEMU_FV,solar_fv,105
533,CAPRICORNIO_FV,solar_fv,10
534,AZABACHE_FV,solar_fv,3
535,MALGARIDA_FV,solar_fv,24
536,PITOTOY_FV,solar_fv,154
537,QUELTEHUE_FV,solar_fv,154
538,EL_RESPLANDOR_FV,solar_fv,112
539,LA_CHIMBA_BIS_FV,solar_fv,36
540,COCHARCAS_FV,solar_fv,118
541,FILOMENA_FV,solar_fv,178
542,COVADONGA_FV,solar_fv,25
543,GRANADA_FV,solar_fv,148
545,SOL_DE_DESIERTO_FV,solar_fv,57
546,PUENTE_FV,solar_fv,116
547,QUILLAY_FV,solar_fv,98
548,LIRIO_DE_CAMPO_FV,solar_fv,98
549,LUMBRERAS_FV,solar_fv,98
550,GUANACO_1_FV,solar_fv,91
552,LINGUE_FV,solar_fv,105
553,SOL_DE_SEPTIEMBRE_FV,solar_fv,188
554,PAINE_FV,solar_fv,82
555,COCINILLAS_FV,solar_fv,36
556,CANELILLO_FV,solar_fv,36
558,PAMPA_TIGRE_FV,solar_fv,69
559,VALLE_ESCONDIDO_FV,solar_fv,13
560,SOL_DE_ATACAMA_FV,solar_fv,12
561,LA_CRUZ_SOLAR_FV,solar_fv,22
562,SOL_DE_LILA_FV,solar_fv,2
563,COYA_FV,solar_fv,22
564,DON_ANDRONICO_FV,solar_fv,108
565,PLAYERO_FV,solar_fv,168
566,PLAYERITO_FV,solar_fv,168
567,CARACAS_2_FV,solar_fv,53
568,DOMEYKO_FV,solar_fv,29
569,EL_CONDOR_FV,solar_fv,207
570,SANTA_INES_FV,solar_fv,180
571,DEL_DESIERTO_FV,solar_fv,2
572,LOS_TILOS_FV,solar_fv,152
573,LO_BOZA_FV,solar_fv,188
574,SOL_DE_LOS_ANDES_FV,solar_fv,25
575,LAS_TORCAZAS_FV,solar_fv,187
576,EL_FLAMENCO_FV,solar_fv,144
577,EL_ZORZAL_FV,solar_fv,144
578,LAS_TORTOLAS_FV,solar_fv,118
579,PITRA_FV,solar_fv,105
580,DON_JORGE_FV,solar_fv,187
581,EL_PIUQUEN_FV,solar_fv,118
583,PENAFLOR_1_FV,solar_fv,91
584,QUINANTU_FV,solar_fv,204
585,SAN_RAMIRO_FV,solar_fv,187
586,BICENTENARIO_FV,solar_fv,168
587,LAS_TENCAS_FV,solar_fv,154
588,TAMARUGO_FV,solar_fv,186
589,MERCURIO_SUR_FV,solar_fv,148
590,SATURNO_NORTE_FV,solar_fv,148
591,HUAPE_FV,solar_fv,118
592,EL_TRILE_FV,solar_fv,148
593,CORRALES_DEL_VERANO_FV,solar_fv,91
594,RUCASOL_FV,solar_fv,180
595,WILLKA_FV,solar_fv,20
596,SAN_JAVIER_FV,solar_fv,204
597,LOS_LAGOS_FV,solar_fv,186
598,LAS_CABRAS_FV,solar_fv,186
599,LAS_MAJADAS_FV,solar_fv,36
600,SLK_808_FV,solar_fv,178
601,BERRUECO_FV,solar_fv,118
